t (s),V (mV)
0,19.0546
0.967,18.9876
1.9,18.9413
2.873,18.8747
3.874,18.8179
4.874,18.7578
5.874,18.6995
6.874,18.642
7.874,18.5821
8.874,18.5238
9.873,18.465
10.874,18.4091
11.874,18.351
12.874,18.2928
13.873,18.2354
14.874,18.1784
15.874,18.121
16.873,18.0646
17.874,18.008
18.874,17.9518
19.874,17.897
20.874,17.8411
21.874,17.786
22.873,17.7296
23.873,17.6734
24.873,17.6195
25.873,17.5637
26.874,17.5112
27.874,17.4563
28.874,17.4018
29.874,17.3462
30.874,17.2926
31.874,17.2375
32.874,17.1819
33.874,17.1288
34.874,17.0742
35.873,17.0206
36.874,16.9648
37.874,16.9106
38.873,16.8583
39.873,16.8046
40.873,16.751
41.874,16.6935
42.874,16.6441
43.874,16.5925
44.874,16.5395
45.873,16.4879
46.874,16.4368
47.873,16.3844
48.873,16.3325
49.873,16.281
50.874,16.2312
51.874,16.1797
52.873,16.1286
53.873,16.0782
54.873,16.028
55.873,15.9778
56.874,15.9278
57.874,15.8781
58.874,15.8287
59.874,15.7783
60.874,15.7294
61.874,15.6801
62.873,15.6304
63.873,15.5826
64.874,15.5329
65.874,15.4854
66.874,15.4361
67.873,15.3888
68.874,15.3419
69.874,15.2948
70.874,15.2477
71.874,15.2013
72.874,15.1537
73.874,15.1081
74.874,15.0606
75.873,15.0135
76.873,14.966
77.874,14.9201
78.874,14.8726
79.873,14.8269
80.873,14.7805
81.874,14.7353
82.874,14.6892
83.874,14.6426
84.873,14.5976
85.873,14.5518
86.873,14.5069
87.874,14.4611
88.873,14.416
89.874,14.3701
90.874,14.3247
91.873,14.2803
92.873,14.2357
93.873,14.1893
94.873,14.1459
95.873,14.1013
96.873,14.0565
97.873,14.0122
98.873,13.9654
99.874,13.9201
100.874,13.8786
101.873,13.8344
102.874,13.7913
103.874,13.749
104.874,13.7066
105.874,13.6623
106.874,13.6204
107.873,13.5776
108.873,13.5362
109.873,13.4937
110.873,13.4513
111.873,13.4106
112.873,13.3688
113.874,13.3271
114.873,13.2851
115.874,13.2445
116.873,13.2034
117.873,13.1621
118.873,13.1202
119.873,13.08
120.874,13.0387
121.873,12.9989
122.874,12.9608
123.873,12.9153
124.874,12.8699
125.874,12.8368
126.874,12.8014
127.874,12.7613
128.874,12.7222
129.874,12.6847
130.874,12.6438
131.874,12.6064
132.874,12.5673
133.874,12.5285
134.874,12.4896
135.874,12.4516
136.874,12.4121
137.874,12.3738
138.874,12.3353
139.873,12.2971
140.874,12.2589
141.874,12.221
142.874,12.1825
143.874,12.1453
144.874,12.1066
145.873,12.069
146.874,12.0305
147.874,11.9926
148.874,11.9544
149.874,11.9176
150.873,11.8797
151.873,11.842
152.874,11.8024
153.874,11.7654
154.874,11.7279
155.874,11.6914
156.873,11.6548
157.874,11.6169
158.874,11.5801
159.874,11.5438
160.874,11.5076
161.874,11.4712
162.874,11.4356
163.874,11.4003
164.873,11.3643
165.874,11.3285
166.873,11.2935
167.874,11.2586
168.874,11.2241
169.874,11.1897
170.874,11.1554
171.874,11.1204
172.874,11.0875
173.874,11.0532
174.874,11.0189
175.874,10.9859
176.874,10.9538
177.874,10.9194
178.873,10.8861
179.874,10.8541
180.874,10.819
181.873,10.7855
182.874,10.7539
183.874,10.7202
184.895,10.6859
185.874,10.6533
186.874,10.6205
187.873,10.5885
188.872,10.555
189.872,10.5225
190.873,10.4902
191.873,10.4561
192.872,10.4238
193.872,10.3918
194.872,10.3588
195.872,10.326
196.873,10.2937
197.873,10.259
198.872,10.2262
199.872,10.1934
200.872,10.1608
201.872,10.1283
202.872,10.0953
203.872,10.064
204.873,10.0323
205.872,10.0004
206.874,9.9687
207.873,9.9374
208.873,9.906
209.873,9.8746
210.873,9.8433
211.873,9.8121
212.874,9.7815
213.874,9.7492
214.874,9.719
215.873,9.6884
216.873,9.6579
217.874,9.6272
218.874,9.5976
219.874,9.5687
220.874,9.5394
221.874,9.5089
222.873,9.4779
223.873,9.4489
224.874,9.4193
225.874,9.3895
226.874,9.3614
227.874,9.3313
228.874,9.304
229.874,9.2741
230.874,9.2461
231.874,9.2175
232.873,9.1889
233.874,9.1606
234.874,9.1344
235.874,9.1054
236.873,9.0758
237.873,9.0489
238.874,9.0218
239.874,8.994
240.873,8.965
241.873,8.9379
242.874,8.911
243.874,8.8837
244.874,8.856
245.874,8.8283
246.874,8.8011
247.874,8.7738
248.874,8.7471
249.874,8.7191
250.874,8.6942
251.874,8.6676
252.874,8.6409
253.874,8.6133
254.874,8.5872
255.873,8.5605
256.874,8.5334
