t (s),V (mV)
0,23.0142
1.05,23.0037
2.1,22.9737
3.149,22.9512
4.19,22.9199
5.189,22.8907
6.19,22.8593
7.19,22.8284
8.189,22.799
9.19,22.7681
10.19,22.7382
11.19,22.7092
12.19,22.68
13.189,22.6516
14.19,22.6222
15.189,22.5943
16.19,22.5667
17.19,22.54
18.19,22.5131
19.19,22.4877
20.189,22.4599
21.19,22.4344
22.19,22.4074
23.19,22.3811
24.19,22.3529
25.189,22.3247
26.189,22.2954
27.19,22.2708
28.189,22.2442
29.19,22.2191
30.19,22.1898
31.189,22.1637
32.19,22.1362
33.19,22.1064
34.189,22.0809
35.19,22.0519
36.19,22.0248
37.189,21.9977
38.19,21.972
39.19,21.9462
40.189,21.92
41.19,21.8937
42.189,21.8694
43.19,21.8438
44.19,21.8172
45.19,21.7918
46.19,21.7652
47.189,21.7408
48.19,21.7162
49.189,21.6902
50.19,21.6667
51.189,21.6411
52.189,21.6168
53.19,21.5939
54.19,21.5721
55.19,21.5475
56.189,21.5218
57.19,21.4984
58.19,21.4733
59.19,21.4504
60.189,21.4248
61.19,21.4008
62.189,21.3762
63.19,21.353
64.189,21.3303
65.19,21.3053
66.189,21.2822
67.19,21.2574
68.19,21.2345
69.189,21.2112
70.19,21.1868
71.189,21.164
72.19,21.1401
73.189,21.1175
74.19,21.0936
75.189,21.0689
76.19,21.0456
77.19,21.0217
78.19,20.9968
79.189,20.9748
80.19,20.9488
81.189,20.9271
82.19,20.901
83.189,20.8796
84.19,20.8556
85.189,20.8329
86.19,20.8098
87.19,20.7861
88.19,20.7639
89.19,20.7406
90.189,20.7173
91.19,20.6942
92.189,20.6716
93.19,20.6486
94.19,20.6258
95.19,20.6036
96.19,20.5816
97.19,20.5585
98.19,20.5368
99.19,20.5133
100.19,20.4907
101.19,20.4685
102.189,20.4465
103.19,20.4236
104.189,20.4005
105.19,20.3772
106.19,20.3549
107.19,20.3316
108.19,20.3112
109.19,20.2894
110.189,20.2667
111.19,20.2436
112.19,20.2214
113.19,20.1992
114.19,20.1783
115.19,20.155
116.19,20.1344
117.189,20.1125
118.19,20.0913
119.19,20.0697
120.189,20.0498
121.19,20.0279
122.189,20.0057
123.19,19.9844
124.19,19.9635
125.19,19.9417
126.19,19.9206
127.189,19.9002
128.19,19.8777
129.19,19.8585
130.189,19.8384
131.19,19.8159
132.189,19.7963
133.19,19.7761
134.189,19.7557
135.19,19.7357
136.19,19.7151
137.189,19.6944
138.19,19.6736
139.189,19.6527
140.19,19.6327
141.19,19.6121
142.19,19.5908
143.189,19.5682
144.19,19.5474
145.19,19.5265
146.189,19.5051
147.19,19.484
148.19,19.4621
149.19,19.4408
150.19,19.4208
151.189,19.3968
152.19,19.3766
153.19,19.3529
154.189,19.3305
155.19,19.3098
156.19,19.2887
157.19,19.2674
158.19,19.2453
159.19,19.2246
160.19,19.2041
161.19,19.1838
162.19,19.1629
163.19,19.1426
164.19,19.1235
165.19,19.1026
166.189,19.0833
167.19,19.063
168.19,19.0444
169.19,19.0257
170.19,19.0054
171.189,18.9885
172.19,18.9678
173.189,18.9489
174.19,18.9283
175.189,18.9092
176.19,18.8896
177.19,18.8693
178.189,18.8481
179.189,18.8284
180.19,18.8083
181.189,18.7881
182.19,18.7685
183.19,18.7464
184.189,18.7255
185.19,18.7072
186.19,18.6863
187.19,18.6672
188.19,18.6461
189.189,18.6257
190.19,18.6066
191.19,18.5868
192.19,18.5668
193.189,18.5464
194.19,18.5277
195.19,18.5082
196.189,18.4858
197.19,18.4678
198.19,18.4499
199.19,18.4317
200.19,18.4112
201.189,18.391
202.19,18.3719
203.189,18.3542
204.19,18.3351
205.19,18.3168
206.19,18.2987
207.19,18.2792
208.19,18.2599
209.19,18.2403
210.189,18.2242
211.19,18.2043
212.189,18.1874
213.19,18.1668
214.19,18.1507
215.19,18.1302
216.19,18.1118
217.19,18.0931
218.189,18.0739
219.19,18.0556
220.19,18.0363
221.19,18.0183
222.19,17.9993
223.189,17.9796
224.19,17.9614
225.19,17.9406
226.19,17.9219
227.19,17.9025
228.189,17.8815
229.19,17.8642
230.19,17.8422
231.19,17.8234
232.19,17.804
233.189,17.7843
234.19,17.7658
235.19,17.7469
236.19,17.7269
237.19,17.7103
238.19,17.6911
239.19,17.6734
240.19,17.6546
241.189,17.6385
242.19,17.6209
243.19,17.6031
244.189,17.5854
245.19,17.5653
246.19,17.5484
247.19,17.5274
248.189,17.5114
249.19,17.4947
250.19,17.4768
251.189,17.4595
252.19,17.4406
253.19,17.422
254.19,17.4031
255.19,17.3843
256.189,17.365
257.19,17.3469
258.189,17.3276
259.19,17.3086
260.19,17.2904
261.189,17.2723
262.19,17.2537
263.19,17.2357
264.189,17.2177
265.19,17.1982
266.19,17.1802
267.19,17.1633
268.189,17.1455
269.19,17.1279
270.19,17.1104
271.189,17.0938
272.19,17.0759
273.19,17.058
274.19,17.0406
275.189,17.0234
276.19,17.006
277.19,16.9897
278.19,16.9711
279.19,16.9547
280.19,16.937
281.19,16.9192
282.19,16.9018
283.189,16.8845
284.19,16.8665
285.19,16.8494
286.19,16.8311
287.19,16.8144
288.19,16.796
289.19,16.7787
290.19,16.7613
291.19,16.7433
292.189,16.7259
293.19,16.709
294.19,16.6912
295.19,16.6763
296.19,16.6583
297.189,16.6406
298.19,16.6255
299.19,16.6086
300.19,16.5909
301.19,16.576
302.19,16.559
303.19,16.5405
304.19,16.5244
305.189,16.5075
306.19,16.4912
307.19,16.4743
308.19,16.4584
309.189,16.442
310.19,16.4255
311.19,16.4087
312.19,16.3922
313.19,16.3755
314.19,16.3581
315.19,16.3422
316.19,16.3256
317.189,16.3085
318.19,16.2914
319.19,16.2754
320.19,16.2578
321.189,16.2411
322.19,16.2241
323.19,16.2076
324.19,16.1911
325.19,16.1737
326.189,16.1569
327.19,16.1418
328.19,16.1207
329.189,16.1072
330.19,16.0896
331.19,16.0745
332.19,16.0582
333.19,16.0405
334.19,16.0256
335.19,16.0079
336.19,15.9909
337.19,15.9753
338.19,15.9579
339.19,15.9421
340.189,15.9249
341.19,15.9088
342.19,15.8923
343.19,15.8756
344.189,15.8594
345.19,15.8432
346.19,15.828
347.19,15.8103
348.19,15.7929
349.19,15.7785
350.19,15.7626
351.19,15.7457
352.19,15.7279
353.189,15.7113
354.19,15.6964
355.19,15.6772
356.19,15.6597
357.19,15.6428
358.189,15.6262
359.19,15.6107
360.19,15.5921
361.19,15.5784
362.19,15.5621
363.19,15.5473
364.189,15.531
365.19,15.5153
366.19,15.5
367.19,15.4845
368.189,15.4719
369.19,15.4561
370.19,15.4438
371.189,15.4291
372.19,15.4123
373.19,15.3978
374.19,15.3817
375.19,15.3653
376.19,15.3499
377.19,15.3347
378.189,15.3166
379.19,15.3008
380.19,15.2835
381.19,15.2664
382.19,15.2483
383.19,15.2322
384.189,15.2141
385.19,15.1993
386.19,15.1836
387.19,15.1671
388.189,15.1513
389.19,15.137
390.19,15.1227
391.19,15.1077
392.19,15.0927
393.19,15.0782
394.19,15.0642
395.19,15.05
396.189,15.0368
397.19,15.0211
398.19,15.0093
399.19,14.995
400.19,14.9816
401.189,14.9666
402.19,14.9522
403.19,14.9377
404.19,14.921
405.19,14.907
406.189,14.8909
407.19,14.8764
408.19,14.8603
409.19,14.8452
410.19,14.8297
411.19,14.8135
412.189,14.7977
413.19,14.7816
414.189,14.7645
415.19,14.7495
416.19,14.7326
417.19,14.7155
418.19,14.6999
419.189,14.6838
420.19,14.669
421.19,14.654
422.19,14.6364
423.19,14.622
424.19,14.61
425.19,14.5967
426.19,14.5827
427.19,14.5694
428.19,14.5558
429.189,14.5429
430.19,14.5272
431.19,14.5147
432.19,14.5018
433.189,14.4884
434.19,14.4733
435.19,14.4607
436.189,14.4466
437.19,14.4323
438.19,14.4176
439.189,14.404
440.19,14.3893
441.19,14.3751
442.19,14.3602
443.19,14.3458
444.19,14.3306
445.189,14.3154
446.189,14.3003
447.189,14.2843
448.19,14.2701
449.19,14.253
450.19,14.237
451.19,14.2209
452.19,14.2051
453.19,14.1896
454.189,14.1748
455.19,14.1607
456.189,14.1462
457.19,14.1317
458.19,14.1179
459.19,14.1029
460.19,14.0894
461.19,14.076
462.19,14.0619
463.189,14.0482
464.189,14.0375
465.189,14.024
466.19,14.0108
467.19,13.9986
468.19,13.986
469.19,13.9733
470.19,13.959
471.189,13.9455
472.189,13.9314
473.19,13.9167
474.19,13.9017
475.189,13.8878
476.189,13.8748
477.189,13.8604
478.19,13.846
479.19,13.8315
480.19,13.8169
481.19,13.8037
482.19,13.7902
483.19,13.775
484.189,13.7617
485.189,13.7463
486.189,13.7311
487.19,13.7186
488.19,13.7021
489.19,13.6873
490.19,13.6718
491.19,13.6564
