t (s),V (mV)
0,24.8512
1.049,24.8539
2.1,24.8318
3.15,24.8253
4.167,24.8041
5.166,24.7846
6.167,24.7654
7.166,24.7434
8.167,24.7246
9.166,24.7022
10.167,24.6842
11.166,24.6637
12.167,24.6439
13.166,24.6232
14.167,24.6043
15.166,24.5849
16.167,24.5661
17.166,24.546
18.166,24.5277
19.167,24.5096
20.166,24.4911
21.167,24.4733
22.166,24.4545
23.167,24.435
24.166,24.4174
25.167,24.3993
26.166,24.3817
27.167,24.3637
28.166,24.3457
29.166,24.3279
30.167,24.3109
31.166,24.293
32.167,24.2756
33.166,24.257
34.166,24.239
35.166,24.2228
36.167,24.2041
37.166,24.1873
38.166,24.1704
39.166,24.1528
40.167,24.1334
41.166,24.1163
42.167,24.0955
43.166,24.0816
44.167,24.0617
45.166,24.047
46.167,24.0301
47.166,24.0129
48.167,23.9947
49.166,23.9793
50.167,23.9621
51.166,23.9446
52.166,23.9295
53.167,23.9124
54.166,23.8964
55.166,23.8804
56.167,23.8624
57.166,23.847
58.167,23.8298
59.166,23.8121
60.167,23.7953
61.166,23.7778
62.167,23.7622
63.166,23.746
64.166,23.7293
65.166,23.7136
66.167,23.6973
67.166,23.6807
68.167,23.6652
69.166,23.6502
70.167,23.6332
71.166,23.618
72.167,23.6016
73.166,23.5852
74.167,23.5701
75.166,23.5557
76.167,23.5384
77.166,23.5239
78.166,23.5081
79.167,23.4933
80.166,23.4779
81.166,23.4613
82.166,23.447
83.167,23.4319
84.166,23.417
85.166,23.402
86.167,23.3857
87.166,23.3727
88.166,23.3571
89.167,23.3417
90.166,23.3282
91.166,23.3153
92.167,23.2987
93.166,23.2856
94.167,23.2685
95.166,23.2581
96.167,23.2425
97.166,23.2299
98.166,23.2156
99.166,23.2007
100.167,23.1848
101.166,23.1731
102.166,23.159
103.167,23.1429
104.166,23.1308
105.167,23.1153
106.167,23.1008
107.166,23.0876
108.167,23.072
109.166,23.0592
110.166,23.045
111.166,23.0314
112.167,23.016
113.166,23.0029
114.167,22.989
115.166,22.9755
116.167,22.9596
117.166,22.9462
118.167,22.9324
119.166,22.9182
120.166,22.9034
121.167,22.8907
122.166,22.8769
123.167,22.8645
124.166,22.8525
125.167,22.8394
126.167,22.8256
127.166,22.8117
128.167,22.7993
129.166,22.7856
130.167,22.7672
131.166,22.7538
132.167,22.7442
133.166,22.7308
134.167,22.7169
135.166,22.7028
136.167,22.689
137.166,22.6749
138.167,22.6617
139.166,22.6488
140.166,22.6355
141.166,22.6209
142.167,22.608
143.166,22.5944
144.166,22.5798
145.167,22.5678
146.166,22.5539
147.166,22.5416
148.166,22.5285
149.167,22.5154
150.166,22.5012
151.166,22.4888
152.167,22.4743
153.166,22.4601
154.166,22.4472
155.166,22.4325
156.166,22.4196
157.166,22.4058
158.166,22.3927
159.166,22.3776
160.167,22.3646
161.166,22.3512
162.166,22.3367
163.167,22.3232
164.166,22.3106
165.166,22.2963
166.167,22.2813
167.166,22.2682
168.166,22.255
169.167,22.2389
170.166,22.2269
171.166,22.2144
172.166,22.1974
173.167,22.181
174.166,22.1687
175.167,22.1543
176.166,22.1422
177.166,22.128
178.166,22.1144
179.167,22.0987
180.166,22.0869
181.166,22.0723
182.166,22.058
183.166,22.045
184.167,22.0306
185.166,22.02
186.166,22.0056
187.166,21.9918
188.166,21.979
189.166,21.9658
190.166,21.9525
191.167,21.9383
192.166,21.9256
193.167,21.9112
194.166,21.8982
195.166,21.8845
196.167,21.8715
197.166,21.858
198.166,21.8449
199.166,21.8318
200.167,21.8187
201.166,21.8058
202.167,21.7922
203.166,21.7792
204.166,21.7667
205.167,21.7535
206.166,21.7411
207.166,21.7275
208.167,21.7159
209.166,21.7032
210.167,21.6908
211.166,21.6779
212.166,21.6647
213.167,21.6539
214.166,21.6418
215.166,21.6279
216.167,21.6155
217.166,21.602
218.166,21.5901
219.166,21.5768
220.166,21.5645
221.167,21.5515
222.166,21.5385
223.166,21.5256
224.166,21.513
225.167,21.5003
226.167,21.4892
227.166,21.4756
228.166,21.4634
229.166,21.4521
230.166,21.4396
231.167,21.4282
232.166,21.4144
233.167,21.4062
234.166,21.391
235.166,21.3792
236.167,21.3691
237.166,21.3555
238.166,21.344
239.167,21.3331
240.166,21.3189
241.166,21.3067
242.166,21.2943
243.166,21.2829
244.166,21.2704
245.166,21.2568
246.167,21.2449
247.166,21.2306
248.166,21.2185
249.166,21.208
250.167,21.197
251.166,21.1859
252.166,21.1739
253.166,21.1613
254.166,21.1506
255.166,21.139
256.167,21.126
257.166,21.1138
258.166,21.1019
259.166,21.0904
260.167,21.0776
261.166,21.0662
262.167,21.0542
263.166,21.0426
264.167,21.0291
265.166,21.0168
266.166,21.0039
267.166,20.9914
268.166,20.978
269.167,20.9623
270.166,20.9519
271.166,20.9383
272.166,20.9259
273.167,20.9112
274.166,20.9016
275.166,20.8873
276.166,20.8732
277.167,20.8611
278.166,20.8484
279.166,20.8366
280.167,20.8232
281.166,20.8119
282.166,20.7989
283.166,20.7865
284.166,20.7747
285.166,20.7604
286.167,20.7486
287.166,20.7369
288.166,20.7244
289.166,20.7118
290.166,20.6997
291.166,20.6883
292.166,20.6757
293.166,20.6624
294.167,20.6508
295.166,20.6384
296.166,20.6246
297.166,20.6129
298.166,20.5998
299.166,20.5875
300.166,20.5755
301.166,20.5639
302.166,20.5507
303.166,20.539
304.166,20.5274
305.166,20.5148
306.167,20.5031
307.166,20.4902
308.166,20.4782
309.166,20.4662
310.167,20.4538
311.166,20.4413
312.167,20.4298
313.166,20.4167
314.166,20.4044
315.166,20.3907
316.167,20.3809
317.166,20.3678
318.166,20.3559
319.166,20.3437
320.166,20.3327
321.166,20.3215
322.166,20.3092
323.167,20.3
324.166,20.2867
325.167,20.2765
326.166,20.2631
327.166,20.2521
328.166,20.2394
329.167,20.2302
330.166,20.2181
331.167,20.2074
332.166,20.1939
333.166,20.1813
334.166,20.1683
335.166,20.1569
336.166,20.1435
337.166,20.1308
338.167,20.1192
339.166,20.1089
340.166,20.0943
341.166,20.0819
342.166,20.0693
343.166,20.0586
344.166,20.0455
345.166,20.0333
346.167,20.0233
347.166,20.0094
348.166,19.9974
349.166,19.985
350.166,19.9726
351.166,19.9588
352.167,19.9478
353.166,19.9296
354.166,19.9211
355.166,19.9112
356.166,19.8994
357.166,19.8888
358.166,19.8787
359.166,19.8667
360.166,19.8566
361.166,19.8436
362.167,19.8336
363.166,19.8202
364.166,19.8081
365.166,19.7964
366.166,19.7857
367.166,19.7735
368.166,19.7618
369.166,19.7507
370.166,19.7384
371.166,19.7274
372.166,19.7144
373.166,19.7039
374.167,19.6917
375.166,19.6795
376.166,19.6691
377.167,19.6587
378.166,19.6455
379.166,19.6356
380.166,19.6241
381.166,19.6125
382.166,19.6023
383.166,19.5897
384.166,19.577
385.166,19.5669
386.166,19.5543
387.166,19.5419
388.166,19.5297
389.166,19.5188
390.166,19.5074
391.166,19.4943
392.166,19.4814
393.167,19.4684
394.166,19.4562
395.166,19.4448
396.166,19.4334
397.167,19.4209
398.166,19.4095
399.166,19.3988
400.166,19.3878
401.167,19.3753
402.166,19.3647
403.166,19.353
404.166,19.3416
405.167,19.3298
406.166,19.3175
407.166,19.3078
408.166,19.2955
409.166,19.2832
410.167,19.2734
411.166,19.2625
412.166,19.2496
413.167,19.2418
414.166,19.228
415.166,19.2162
416.166,19.2055
417.166,19.1947
418.166,19.1838
419.166,19.1731
420.166,19.1631
421.166,19.1519
422.166,19.1408
423.166,19.1295
424.166,19.1182
425.166,19.1068
426.166,19.0965
427.166,19.0854
428.166,19.0736
429.166,19.0642
430.166,19.0541
431.166,19.0433
432.166,19.0339
433.166,19.0217
434.166,19.011
435.166,18.9994
436.166,18.9887
437.166,18.9794
438.166,18.9687
439.166,18.9589
440.166,18.9478
441.166,18.9382
442.166,18.928
443.166,18.9166
444.166,18.9063
445.166,18.896
446.166,18.8854
447.166,18.8752
448.166,18.8656
449.166,18.8552
450.166,18.8443
451.166,18.8336
452.166,18.8249
453.166,18.8131
454.166,18.8032
455.166,18.7917
456.166,18.7829
457.166,18.7717
458.167,18.7628
459.166,18.7505
460.166,18.7417
461.166,18.7303
462.166,18.7206
463.166,18.7093
464.166,18.6996
465.166,18.6894
466.167,18.6802
467.167,18.6684
468.166,18.6586
469.166,18.6482
470.166,18.6382
471.166,18.6287
472.166,18.6167
473.167,18.6091
474.166,18.5972
475.166,18.5863
476.166,18.5742
477.166,18.5641
478.166,18.5532
479.166,18.5428
480.166,18.5311
481.166,18.5202
482.166,18.5098
483.166,18.5
484.166,18.4894
485.166,18.4783
486.166,18.4686
487.166,18.4579
488.166,18.4485
489.166,18.4396
