t (s),V (mV)
255,15.0257
255.999,15.0152
257,15.0042
258,14.9932
259,14.981
259.999,14.9724
261,14.9611
262,14.9498
263,14.9401
263.999,14.932
265,14.922
266,14.9115
267,14.9005
267.999,14.8899
269,14.8796
270,14.8683
270.999,14.8582
272,14.8488
273,14.8356
273.999,14.826
275,14.8148
275.999,14.8025
277,14.7927
278,14.7801
278.999,14.7652
280,14.7558
281,14.746
282,14.733
283,14.7232
283.999,14.7113
285,14.7009
286,14.6903
287,14.6798
287.999,14.6684
289,14.6578
290,14.6472
291,14.6361
291.999,14.6256
292.999,14.6144
294,14.6039
295,14.5925
295.999,14.5819
297,14.5716
298,14.5616
298.999,14.5508
300,14.5394
301,14.5289
301.999,14.5177
303,14.5083
304,14.4969
304.999,14.4865
306,14.4768
307,14.4658
307.999,14.4557
309,14.4442
310,14.433
310.999,14.4231
312,14.4123
313,14.4019
313.999,14.3921
315,14.3808
316,14.3705
316.999,14.3606
318,14.3496
319,14.3396
319.999,14.3304
321,14.3208
322,14.3087
322.999,14.3004
324,14.2893
325,14.277
325.999,14.2685
327,14.2574
328,14.2456
328.999,14.2363
330,14.2256
331,14.214
331.999,14.2039
333,14.192
334,14.1805
334.999,14.1711
336,14.1598
337,14.1496
337.999,14.1395
339,14.1284
340,14.1178
340.999,14.108
342,14.0975
343,14.0872
344,14.0764
344.999,14.0678
346,14.0563
347,14.0459
347.999,14.0364
349,14.0251
350,14.0152
351,14.0039
351.999,13.9952
352.999,13.9848
354,13.9749
355,13.9655
356,13.9548
356.999,13.9455
358,13.9355
359,13.9255
359.999,13.9163
360.999,13.9071
362,13.896
363,13.8858
364,13.8761
364.999,13.8687
366,13.8583
367,13.8478
367.999,13.8394
369,13.8293
370,13.8185
371,13.8081
372,13.7972
373,13.7877
374,13.7773
375,13.7665
375.999,13.7572
377,13.746
378,13.7347
378.999,13.7241
380,13.7136
381,13.7021
381.999,13.6936
383,13.6819
384,13.6703
384.999,13.6601
386,13.6497
387,13.6374
387.999,13.6279
389,13.6167
390,13.6058
390.999,13.596
392,13.5843
393,13.574
393.999,13.564
395,13.5527
396,13.5424
396.999,13.5311
398,13.5214
398.999,13.5103
400,13.5003
401,13.4892
401.999,13.4787
403,13.4692
404,13.4601
404.999,13.4502
406,13.4395
407,13.4301
407.999,13.421
409,13.4105
410,13.4015
410.999,13.3915
412,13.3822
412.999,13.372
414,13.3626
415,13.3532
415.999,13.3434
417,13.3328
418,13.3226
418.999,13.3132
420,13.3043
421,13.2952
421.999,13.2863
423,13.2764
424,13.2653
425,13.2567
426,13.2469
426.999,13.2372
428,13.2278
428.999,13.2175
430,13.2085
431,13.1969
431.999,13.1881
433,13.1782
434,13.1683
434.999,13.1589
436,13.1491
437,13.1387
438,13.1311
439,13.1212
439.999,13.1122
441,13.1026
442,13.0927
442.999,13.0866
444,13.0765
445,13.0674
446,13.0589
447,13.0506
448,13.0397
448.999,13.0325
450,13.0234
451,13.0125
451.999,13.0038
453,12.9935
454,12.983
454.999,12.975
456,12.9653
456.999,12.9563
458,12.9462
459,12.9367
460,12.927
460.999,12.9181
462,12.908
462.999,12.8983
464,12.889
464.999,12.8791
466,12.8694
466.999,12.8606
468,12.8507
468.999,12.8411
470,12.8313
470.999,12.8215
472,12.8126
472.999,12.8031
474,12.7933
474.999,12.7838
476,12.7748
476.999,12.7652
478,12.7559
479,12.7462
479.999,12.7357
481,12.7254
482,12.7162
483,12.7068
483.999,12.6974
485,12.6881
485.999,12.6788
487,12.6703
488,12.6612
488.999,12.652
490,12.6422
491,12.6329
492,12.6241
493,12.6149
494,12.6047
495,12.5961
496,12.587
496.999,12.5785
498,12.5689
499,12.5595
500,12.5494
501,12.5405
501.999,12.5301
503,12.5226
504,12.5128
505,12.5032
505.999,12.4935
507,12.4855
507.999,12.4752
509,12.4676
509.999,12.4561
511,12.4484
512,12.4375
513,12.4287
513.999,12.4183
514.999,12.4084
516,12.3995
516.999,12.3892
518,12.3806
518.999,12.371
520,12.3611
520.999,12.3528
522,12.3442
522.999,12.3343
524,12.3252
524.999,12.3163
526,12.3068
527,12.2985
528,12.2897
528.999,12.2794
530,12.2708
530.999,12.2625
532,12.2529
532.999,12.2453
534,12.2366
534.999,12.2286
536,12.2179
537,12.2112
538,12.2017
538.999,12.1941
540,12.1842
540.999,12.1777
542,12.1679
542.999,12.1614
544,12.1501
544.999,12.1425
546,12.1325
546.999,12.1249
548,12.1158
548.999,12.1071
550,12.0987
551,12.0907
552,12.0824
552.999,12.0726
554,12.0643
555,12.0546
556,12.0463
557,12.0356
558,12.0264
559,12.0175
559.999,12.0096
561,12.0007
561.999,11.9915
563,11.9825
563.999,11.9686
565,11.9608
565.999,11.9545
567,11.9449
567.999,11.9356
569,11.9283
570,11.9182
571,11.9082
572,11.8991
573,11.8887
573.999,11.8797
575,11.8708
576,11.8619
576.999,11.8518
578,11.8425
578.999,11.8334
580,11.824
580.999,11.8132
582,11.8044
583,11.7939
584,11.7844
584.999,11.7739
586,11.7665
587,11.7539
588,11.7482
588.999,11.738
590,11.7292
590.999,11.7178
592,11.7102
592.999,11.6997
594,11.6908
595,11.6815
596,11.6736
596.999,11.6648
598,11.6572
598.999,11.6473
600,11.6401
600.999,11.6312
602,11.6233
602.999,11.6154
604,11.6089
605,11.5987
606,11.5897
607,11.5815
608,11.5758
608.999,11.5656
610,11.5598
610.999,11.5507
612,11.5433
612.999,11.5342
614,11.5275
614.999,11.5171
616,11.511
616.999,11.5003
618,11.4937
618.999,11.4821
619.999,11.4748
621,11.4683
621.999,11.4578
623,11.4516
623.999,11.4419
625,11.4353
626,11.4256
627,11.42
627.999,11.4096
629,11.404
629.999,11.3943
631,11.388
631.999,11.379
633,11.3716
633.999,11.3616
635,11.3551
635.999,11.3441
637,11.3377
637.999,11.3276
639,11.3204
640,11.3102
641,11.3021
641.999,11.2933
643,11.2849
644,11.2776
645,11.2686
645.999,11.2612
647,11.2527
647.999,11.2459
649,11.2381
649.999,11.23
651,11.2234
651.999,11.215
653,11.2064
653.999,11.2005
655,11.1914
655.999,11.1856
657,11.1767
657.999,11.1707
659,11.1632
659.999,11.1574
660.999,11.1501
662,11.142
662.999,11.1347
664,11.1265
665,11.1179
666,11.1102
666.999,11.1014
668,11.0938
668.999,11.0857
670,11.0781
670.999,11.0697
672,11.06
672.999,11.0518
674,11.0442
674.999,11.0352
676,11.0268
676.999,11.0184
678,11.0107
679,11.0019
680,10.9948
680.999,10.9858
682,10.9784
683,10.9703
683.999,10.9617
685,10.9544
685.999,10.9463
687,10.9365
688,10.9288
689,10.9197
689.999,10.9111
691,10.9031
691.999,10.8947
693,10.8865
693.999,10.8792
695,10.8719
696,10.8619
697,10.8549
697.999,10.8467
699,10.8385
699.999,10.83
701,10.8216
701.999,10.814
703,10.806
703.999,10.7972
705,10.7903
706,10.7821
707,10.7735
707.999,10.765
709,10.7564
710,10.7481
711,10.7403
711.999,10.7313
713,10.7228
713.999,10.7144
715,10.7073
715.999,10.6987
717,10.6902
718,10.6823
719,10.6749
720,10.6667
720.999,10.6584
722,10.6515
722.999,10.6426
724,10.6359
724.999,10.6264
726,10.6201
726.999,10.6119
728,10.604
728.999,10.5941
729.998,10.5863
730.999,10.5799
731.999,10.5728
732.999,10.5649
733.999,10.5576
734.999,10.5485
735.999,10.541
736.999,10.5319
737.999,10.5234
738.999,10.5166
739.999,10.5086
740.999,10.5007
741.999,10.4932
742.999,10.4835
743.999,10.4755
744.999,10.4678
745.999,10.4597
746.999,10.4523
747.999,10.444
748.999,10.4352
749.999,10.4278
750.999,10.4198
751.999,10.4112
752.998,10.4028
753.999,10.3962
754.999,10.3886
755.999,10.38
756.999,10.3719
757.999,10.3644
758.999,10.3571
759.999,10.35
760.998,10.3432
761.999,10.3349
762.999,10.3279
763.999,10.32
764.999,10.3142
765.998,10.3073
766.999,10.2997
767.999,10.2931
768.999,10.2859
769.999,10.2784
770.999,10.2691
771.999,10.2631
772.999,10.2538
773.999,10.2479
774.999,10.2409
775.999,10.2328
776.999,10.2269
777.999,10.2169
778.998,10.2106
779.999,10.2008
780.999,10.1934
781.999,10.1859
782.998,10.179
783.999,10.1691
784.998,10.1612
785.999,10.1541
786.998,10.1449
787.999,10.1367
788.999,10.1283
789.999,10.1182
790.999,10.112
791.998,10.1052
792.999,10.096
793.999,10.0877
794.999,10.0798
795.999,10.073
796.999,10.0657
797.999,10.0579
798.999,10.05
799.999,10.0416
800.999,10.034
801.999,10.0262
802.999,10.0195
803.999,10.011
804.999,10.0032
806,9.9964
806.999,9.9881
808,9.9818
808.999,9.9742
810,9.9682
810.999,9.9617
812,9.9545
813,9.9475
814,9.9421
814.999,9.9337
816,9.9287
816.999,9.9203
818,9.9161
819,9.9066
820,9.9008
820.999,9.8927
822,9.8873
823,9.8793
824,9.8738
824.999,9.8654
826,9.8585
827,9.8526
828,9.8471
829,9.8393
830,9.8328
830.999,9.8246
832,9.8193
832.999,9.8103
834,9.8026
834.999,9.7967
836,9.7882
836.999,9.7802
838,9.7738
838.999,9.7652
840,9.7577
841,9.7503
842,9.7419
843,9.7346
844,9.7279
844.999,9.7204
846,9.713
846.999,9.7073
848,9.6985
848.999,9.6921
850,9.6846
850.999,9.6762
852,9.6704
853,9.6631
854,9.6563
854.999,9.6488
856,9.6428
857,9.636
858,9.6269
858.999,9.6211
860,9.6138
860.999,9.6059
862,9.5993
863,9.5929
864,9.5834
865,9.5757
866,9.5677
867,9.5574
868,9.5499
869,9.5392
870,9.5319
871,9.5231
872,9.5151
873,9.5067
874,9.4999
875,9.4923
876,9.4867
877,9.4787
877.999,9.4714
879,9.4644
879.999,9.4593
881,9.452
881.999,9.444
883,9.4377
884,9.4326
885,9.425
886,9.4174
887,9.4127
888,9.4051
889,9.4003
889.999,9.3931
891,9.3894
892,9.3821
893,9.3773
894,9.3696
