t (s),V (mV)
0,18.2983
1,18.2878
2,18.2743
3,18.2577
4,18.2402
5,18.2232
6,18.206
7,18.1886
8,18.1728
9,18.1542
10,18.1376
11,18.1217
12,18.1044
13,18.0874
14,18.071
15,18.0547
16,18.0378
17,18.025
18,18.0091
19,17.9958
20,17.98
21,17.9625
22,17.95
23,17.9359
24,17.9204
24.999,17.9072
25.999,17.8925
27,17.8779
27.999,17.8646
28.999,17.8511
29.999,17.8362
31,17.8218
32,17.8069
33,17.7931
34,17.7784
35,17.7636
35.999,17.7467
36.999,17.7339
38,17.7194
39,17.7053
40,17.6915
41,17.6777
42,17.6624
43,17.6486
43.999,17.6306
44.999,17.6149
46,17.6002
47,17.5853
48,17.5692
49,17.5549
50,17.5402
51,17.5247
52,17.5123
53,17.4989
53.999,17.487
54.999,17.473
56,17.4598
57,17.4464
57.999,17.4347
58.999,17.4228
59.999,17.4106
61,17.3971
62,17.3837
63,17.3717
64,17.3578
65,17.3444
66,17.3317
66.999,17.3179
67.999,17.3035
68.999,17.2892
70,17.2742
71,17.2595
72,17.2442
73,17.2287
74,17.2147
75,17.1995
75.999,17.1862
77,17.1724
78,17.1585
79,17.1451
80,17.1326
81,17.1193
82,17.1071
83,17.0953
84,17.084
85,17.0722
86,17.0601
87,17.0478
87.999,17.0353
88.999,17.0231
89.999,17.0095
90.999,16.9965
92,16.9835
93,16.9706
94,16.9567
95,16.9431
96,16.9282
97,16.9131
97.999,16.8972
99,16.8842
100,16.8705
101,16.8567
101.999,16.844
103,16.8311
104,16.8182
105,16.8062
105.999,16.7948
106.999,16.783
108,16.7701
109,16.758
110,16.7466
110.999,16.7361
112,16.7233
113,16.7119
114,16.6991
115,16.6878
116,16.6753
117,16.6619
117.999,16.6504
119,16.6371
120,16.6246
121,16.6119
121.999,16.5978
123,16.5837
124,16.5725
125,16.5585
126,16.5445
127,16.5303
127.999,16.5177
129,16.5058
130,16.4928
131,16.4809
132,16.4688
132.999,16.4567
134,16.4445
135,16.4323
136,16.4207
136.999,16.4117
138,16.4001
139,16.3881
140,16.3767
141,16.3645
142,16.3519
142.999,16.3391
144,16.3275
145,16.3136
146,16.3001
147,16.2864
147.999,16.2715
148.999,16.2561
150,16.2423
151,16.2286
152,16.2151
153,16.2014
153.999,16.19
154.999,16.1784
156,16.1658
157,16.1547
158,16.1428
159,16.1323
159.999,16.1233
161,16.1136
162,16.1019
163,16.0908
163.999,16.0781
165,16.0663
166,16.0545
167,16.0421
167.999,16.0282
169,16.0142
170,16.0014
171,15.9885
171.999,15.9759
172.999,15.9645
174,15.9532
175,15.9406
175.999,15.9308
177,15.9195
178,15.9092
178.999,15.9016
180,15.8909
181,15.8803
182,15.8696
182.999,15.8572
184,15.8447
185,15.8357
186,15.8209
187,15.8077
188,15.7927
189,15.7785
190,15.7651
191,15.7526
191.999,15.7408
193,15.7289
194,15.7181
195,15.7073
195.999,15.6973
197,15.6873
198,15.6778
199,15.668
199.999,15.6564
201,15.6443
202,15.6319
202.999,15.6208
204,15.6085
205,15.596
206,15.5841
206.999,15.5685
208,15.5549
209,15.5437
210,15.5321
210.999,15.5214
212,15.5091
213,15.4984
214,15.4862
214.999,15.477
216,15.4662
217,15.4565
218,15.4473
219,15.4359
220,15.4242
221,15.4131
221.999,15.4015
223,15.3903
223.999,15.3782
225,15.3657
226,15.3536
227,15.3414
227.999,15.326
228.999,15.3135
230,15.3015
231,15.2902
232,15.2798
233,15.2686
233.999,15.258
235,15.2472
236,15.2367
236.999,15.2292
238,15.2194
239,15.2104
240,15.1996
240.999,15.1897
242,15.1788
243,15.1672
243.999,15.1552
245,15.1437
246,15.1325
247,15.1196
248,15.1089
248.999,15.0948
250,15.0823
251,15.0698
251.999,15.0598
253,15.0479
254,15.0372
